provider	model_id	missing_count	best_gain	remaining_after	best_kind	best_source	best_source_missing
tetrate	deepinfra/openai/gpt-oss-20b	1	1	0	prefix-provider	deepinfra:openai/gpt-oss-20b	0
tetrate	deepinfra/Qwen/Qwen3-14B	1	1	0	prefix-provider	deepinfra:Qwen/Qwen3-14B	0
tetrate	deepinfra/Qwen/Qwen3-235B-A22B-Thinking-2507	1	1	0	prefix-provider	deepinfra:Qwen/Qwen3-235B-A22B-Thinking-2507	0
tetrate	deepinfra/Qwen/Qwen3-30B-A3B	1	1	0	prefix-provider	deepinfra:Qwen/Qwen3-30B-A3B	0
tetrate	deepinfra/Qwen/Qwen3-32B	1	1	0	prefix-provider	deepinfra:Qwen/Qwen3-32B	0
tetrate	deepinfra/Qwen/Qwen3-Next-80B-A3B-Instruct	1	1	0	prefix-provider	deepinfra:Qwen/Qwen3-Next-80B-A3B-Instruct	0
tetrate	deepinfra/Qwen/Qwen3-VL-235B-A22B-Instruct	1	1	0	prefix-provider	deepinfra:Qwen/Qwen3-VL-235B-A22B-Instruct	0
tetrate	deepinfra/Qwen/Qwen3-VL-30B-A3B-Instruct	1	1	0	prefix-provider	deepinfra:Qwen/Qwen3-VL-30B-A3B-Instruct	0
tetrate	xai/grok-4-1-fast-non-reasoning	1	1	0	prefix-provider	xai:grok-4-1-fast-non-reasoning	2
tetrate	xai/grok-4-1-fast-reasoning	1	1	0	prefix-provider	xai:grok-4-1-fast-reasoning	2
tetrate	xai/grok-4.20-0309-non-reasoning	1	1	0	prefix-provider	xai:grok-4.20-0309-non-reasoning	2
tetrate	xai/grok-4.20-0309-reasoning	1	1	0	prefix-provider	xai:grok-4.20-0309-reasoning	2
tetrate	xai/grok-4.20-multi-agent-0309	1	1	0	prefix-provider	xai:grok-4.20-multi-agent-0309	2
aihubmix	gpt-4o-mini-2024-07-18	2	1	1	same-provider-date	aihubmix:gpt-4o-mini	1
github-copilot	gpt-4o-2024-08-06	3	1	2	same-provider-date	github-copilot:gpt-4o	2
kilo	openrouter/auto	3	1	2	openrouter-normalized	openrouter:openrouter/auto	2
kilo	openrouter/bodybuilder	3	1	2	openrouter-normalized	openrouter:openrouter/bodybuilder	2
kilo	openrouter/pareto-code	3	1	2	openrouter-normalized	openrouter:openrouter/pareto-code	2
github-models	openai/text-embedding-3-large	4	1	3	prefix-provider	openai:text-embedding-3-large	4
github-models	openai/text-embedding-3-small	4	1	3	prefix-provider	openai:text-embedding-3-small	4
