provider	model_id	provider_model_dir	manual_attachment	missing_count	missing_fields
fireworks-ai	accounts/fireworks/models/deepseek-v4-pro	accounts-fireworks-models-deepseek-v4-pro	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/devstral-small-2505	accounts-fireworks-models-devstral-small-2505	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/dolphin-2-9-2-qwen2-72b	accounts-fireworks-models-dolphin-2-9-2-qwen2-72b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/dolphin-2p6-mixtral-8x7b	accounts-fireworks-models-dolphin-2p6-mixtral-8x7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/ernie-4p5-21b-a3b-pt	accounts-fireworks-models-ernie-4p5-21b-a3b-pt	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/ernie-4p5-300b-a47b-pt	accounts-fireworks-models-ernie-4p5-300b-a47b-pt	false	2	limit.context,features.attachment
fireworks-ai	accounts/fireworks/models/fare-20b	accounts-fireworks-models-fare-20b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gemma-2b-it	accounts-fireworks-models-gemma-2b-it	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gemma-3-12b-it	accounts-fireworks-models-gemma-3-12b-it	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gemma-3-1b-it	accounts-fireworks-models-gemma-3-1b-it	false	2	limit.context,features.attachment
fireworks-ai	accounts/fireworks/models/gemma-3-27b-it	accounts-fireworks-models-gemma-3-27b-it	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gemma-3-4b-it	accounts-fireworks-models-gemma-3-4b-it	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gemma-7b	accounts-fireworks-models-gemma-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gemma-7b-it	accounts-fireworks-models-gemma-7b-it	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gemma2-9b-it	accounts-fireworks-models-gemma2-9b-it	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/glm-4p5	accounts-fireworks-models-glm-4p5	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/glm-4p5-air	accounts-fireworks-models-glm-4p5-air	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/glm-4p6	accounts-fireworks-models-glm-4p6	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/glm-4p7	accounts-fireworks-models-glm-4p7	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/glm-4p7-flash	accounts-fireworks-models-glm-4p7-flash	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/glm-5	accounts-fireworks-models-glm-5	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/glm-5p1	accounts-fireworks-models-glm-5p1	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gpt-oss-120b	accounts-fireworks-models-gpt-oss-120b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gpt-oss-20b	accounts-fireworks-models-gpt-oss-20b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gpt-oss-safeguard-120b	accounts-fireworks-models-gpt-oss-safeguard-120b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/gpt-oss-safeguard-20b	accounts-fireworks-models-gpt-oss-safeguard-20b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/hermes-2-pro-mistral-7b	accounts-fireworks-models-hermes-2-pro-mistral-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/kat-coder	accounts-fireworks-models-kat-coder	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/kat-dev-32b	accounts-fireworks-models-kat-dev-32b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/kat-dev-72b-exp	accounts-fireworks-models-kat-dev-72b-exp	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/kimi-k2-instruct	accounts-fireworks-models-kimi-k2-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/kimi-k2-instruct-0905	accounts-fireworks-models-kimi-k2-instruct-0905	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/kimi-k2-thinking	accounts-fireworks-models-kimi-k2-thinking	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-guard-2-8b	accounts-fireworks-models-llama-guard-2-8b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-guard-3-1b	accounts-fireworks-models-llama-guard-3-1b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-guard-3-8b	accounts-fireworks-models-llama-guard-3-8b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v2-13b	accounts-fireworks-models-llama-v2-13b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v2-13b-chat	accounts-fireworks-models-llama-v2-13b-chat	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v2-70b	accounts-fireworks-models-llama-v2-70b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v2-7b	accounts-fireworks-models-llama-v2-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v2-7b-chat	accounts-fireworks-models-llama-v2-7b-chat	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3-70b-instruct	accounts-fireworks-models-llama-v3-70b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3-70b-instruct-hf	accounts-fireworks-models-llama-v3-70b-instruct-hf	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3-8b	accounts-fireworks-models-llama-v3-8b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3-8b-instruct	accounts-fireworks-models-llama-v3-8b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3-8b-instruct-hf	accounts-fireworks-models-llama-v3-8b-instruct-hf	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p1-405b-instruct	accounts-fireworks-models-llama-v3p1-405b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p1-405b-instruct-long	accounts-fireworks-models-llama-v3p1-405b-instruct-long	false	2	limit.context,features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p1-70b-instruct	accounts-fireworks-models-llama-v3p1-70b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p1-70b-instruct-1b	accounts-fireworks-models-llama-v3p1-70b-instruct-1b	false	2	limit.context,features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p1-8b-instruct	accounts-fireworks-models-llama-v3p1-8b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p1-nemotron-70b-instruct	accounts-fireworks-models-llama-v3p1-nemotron-70b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p2-1b	accounts-fireworks-models-llama-v3p2-1b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p2-1b-instruct	accounts-fireworks-models-llama-v3p2-1b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p2-3b	accounts-fireworks-models-llama-v3p2-3b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p2-3b-instruct	accounts-fireworks-models-llama-v3p2-3b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llama-v3p3-70b-instruct	accounts-fireworks-models-llama-v3p3-70b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/llamaguard-7b	accounts-fireworks-models-llamaguard-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/minimax-m1-80k	accounts-fireworks-models-minimax-m1-80k	false	2	limit.context,features.attachment
fireworks-ai	accounts/fireworks/models/minimax-m2	accounts-fireworks-models-minimax-m2	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/minimax-m2p1	accounts-fireworks-models-minimax-m2p1	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/minimax-m2p5	accounts-fireworks-models-minimax-m2p5	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/minimax-m2p7	accounts-fireworks-models-minimax-m2p7	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mistral-7b	accounts-fireworks-models-mistral-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mistral-7b-instruct-v0p2	accounts-fireworks-models-mistral-7b-instruct-v0p2	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mistral-7b-instruct-v3	accounts-fireworks-models-mistral-7b-instruct-v3	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mistral-7b-v0p2	accounts-fireworks-models-mistral-7b-v0p2	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mistral-nemo-base-2407	accounts-fireworks-models-mistral-nemo-base-2407	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mistral-nemo-instruct-2407	accounts-fireworks-models-mistral-nemo-instruct-2407	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mistral-small-24b-instruct-2501	accounts-fireworks-models-mistral-small-24b-instruct-2501	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mixtral-8x22b	accounts-fireworks-models-mixtral-8x22b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mixtral-8x22b-instruct	accounts-fireworks-models-mixtral-8x22b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mixtral-8x7b	accounts-fireworks-models-mixtral-8x7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mixtral-8x7b-instruct	accounts-fireworks-models-mixtral-8x7b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mixtral-8x7b-instruct-hf	accounts-fireworks-models-mixtral-8x7b-instruct-hf	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/mythomax-l2-13b	accounts-fireworks-models-mythomax-l2-13b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nemotron-nano-3-30b-a3b	accounts-fireworks-models-nemotron-nano-3-30b-a3b	false	2	limit.context,features.attachment
fireworks-ai	accounts/fireworks/models/nous-capybara-7b-v1p9	accounts-fireworks-models-nous-capybara-7b-v1p9	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nous-hermes-2-mixtral-8x7b-dpo	accounts-fireworks-models-nous-hermes-2-mixtral-8x7b-dpo	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nous-hermes-llama2-13b	accounts-fireworks-models-nous-hermes-llama2-13b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nous-hermes-llama2-70b	accounts-fireworks-models-nous-hermes-llama2-70b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nous-hermes-llama2-7b	accounts-fireworks-models-nous-hermes-llama2-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nvidia-nemotron-3-nano-omni-30b-a3b	accounts-fireworks-models-nvidia-nemotron-3-nano-omni-30b-a3b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nvidia-nemotron-3-super-120b-a12b-fp8	accounts-fireworks-models-nvidia-nemotron-3-super-120b-a12b-fp8	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nvidia-nemotron-3-super-120b-a12b-nvfp4	accounts-fireworks-models-nvidia-nemotron-3-super-120b-a12b-nvfp4	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nvidia-nemotron-nano-12b-v2	accounts-fireworks-models-nvidia-nemotron-nano-12b-v2	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/nvidia-nemotron-nano-9b-v2	accounts-fireworks-models-nvidia-nemotron-nano-9b-v2	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/openchat-3p5-0106-7b	accounts-fireworks-models-openchat-3p5-0106-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/openhermes-2-mistral-7b	accounts-fireworks-models-openhermes-2-mistral-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/openhermes-2p5-mistral-7b	accounts-fireworks-models-openhermes-2p5-mistral-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/openorca-7b	accounts-fireworks-models-openorca-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/phi-3-mini-128k-instruct	accounts-fireworks-models-phi-3-mini-128k-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/phind-code-llama-34b-python-v1	accounts-fireworks-models-phind-code-llama-34b-python-v1	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/phind-code-llama-34b-v1	accounts-fireworks-models-phind-code-llama-34b-v1	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/phind-code-llama-34b-v2	accounts-fireworks-models-phind-code-llama-34b-v2	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/pythia-12b	accounts-fireworks-models-pythia-12b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen-qwq-32b-preview	accounts-fireworks-models-qwen-qwq-32b-preview	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen-v2p5-14b-instruct	accounts-fireworks-models-qwen-v2p5-14b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen-v2p5-7b	accounts-fireworks-models-qwen-v2p5-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen1p5-72b-chat	accounts-fireworks-models-qwen1p5-72b-chat	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2-72b-instruct	accounts-fireworks-models-qwen2-72b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2-7b-instruct	accounts-fireworks-models-qwen2-7b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-0p5b-instruct	accounts-fireworks-models-qwen2p5-0p5b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-14b	accounts-fireworks-models-qwen2p5-14b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-14b-instruct	accounts-fireworks-models-qwen2p5-14b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-1p5b-instruct	accounts-fireworks-models-qwen2p5-1p5b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-32b	accounts-fireworks-models-qwen2p5-32b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-32b-instruct	accounts-fireworks-models-qwen2p5-32b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-72b	accounts-fireworks-models-qwen2p5-72b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-72b-instruct	accounts-fireworks-models-qwen2p5-72b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-7b	accounts-fireworks-models-qwen2p5-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-7b-instruct	accounts-fireworks-models-qwen2p5-7b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-0p5b	accounts-fireworks-models-qwen2p5-coder-0p5b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-0p5b-instruct	accounts-fireworks-models-qwen2p5-coder-0p5b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-14b	accounts-fireworks-models-qwen2p5-coder-14b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-14b-instruct	accounts-fireworks-models-qwen2p5-coder-14b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-1p5b	accounts-fireworks-models-qwen2p5-coder-1p5b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-1p5b-instruct	accounts-fireworks-models-qwen2p5-coder-1p5b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-32b	accounts-fireworks-models-qwen2p5-coder-32b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-32b-instruct	accounts-fireworks-models-qwen2p5-coder-32b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-32b-instruct-128k	accounts-fireworks-models-qwen2p5-coder-32b-instruct-128k	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-32b-instruct-32k-rope	accounts-fireworks-models-qwen2p5-coder-32b-instruct-32k-rope	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-32b-instruct-64k	accounts-fireworks-models-qwen2p5-coder-32b-instruct-64k	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-3b	accounts-fireworks-models-qwen2p5-coder-3b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-3b-instruct	accounts-fireworks-models-qwen2p5-coder-3b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-7b	accounts-fireworks-models-qwen2p5-coder-7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-coder-7b-instruct	accounts-fireworks-models-qwen2p5-coder-7b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen2p5-math-72b-instruct	accounts-fireworks-models-qwen2p5-math-72b-instruct	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-0p6b	accounts-fireworks-models-qwen3-0p6b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-14b	accounts-fireworks-models-qwen3-14b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-1p7b	accounts-fireworks-models-qwen3-1p7b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-235b-a22b	accounts-fireworks-models-qwen3-235b-a22b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-235b-a22b-instruct-2507	accounts-fireworks-models-qwen3-235b-a22b-instruct-2507	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-235b-a22b-thinking-2507	accounts-fireworks-models-qwen3-235b-a22b-thinking-2507	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-30b-a3b	accounts-fireworks-models-qwen3-30b-a3b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-30b-a3b-instruct-2507	accounts-fireworks-models-qwen3-30b-a3b-instruct-2507	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-30b-a3b-thinking-2507	accounts-fireworks-models-qwen3-30b-a3b-thinking-2507	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-32b	accounts-fireworks-models-qwen3-32b	false	1	features.attachment
fireworks-ai	accounts/fireworks/models/qwen3-4b	accounts-fireworks-models-qwen3-4b	false	1	features.attachment
